Designator,Mid X,Mid Y,Rotation,Layer
R64,62.484,-74.279,90.0,top
R66,221.750611,-73.152,90.0,top
R67,214.130611,-70.893,90.0,top
R68,226.830611,-70.898,90.0,top
R69,197.874611,-75.692,270.0,top
R7,191.8735,-67.31,180.0,top
R70,196.962111,-78.74,180.0,top
R72,209.050611,-73.152,90.0,top
R73,224.544611,-70.866,90.0,top
R74,211.590611,-70.882,90.0,top
R75,51.562,-84.9865,270.0,top
R76,51.562,-79.8595,90.0,top
R77,48.8715,-86.106,180.0,top
R78,48.895,-78.994,180.0,top
R8,196.088,-68.58,180.0,top
R9,58.801,-154.8548,90.0,top
SW1,66.3418,-162.0993,90.0,top
TP1,196.998021,-165.409766,0.0,top
TP10,78.74,-65.786,0.0,top
TP11,78.232,-83.312,0.0,top
TP12,73.914,-65.742615,0.0,top
TP13,72.39,-83.312,0.0,top
TP14,69.088,-65.786,0.0,top
TP15,67.31,-83.312,0.0,top
TP16,63.1425,-99.568,0.0,top
TP17,63.1425,-103.5558,0.0,top
TP18,80.5303,-100.2538,0.0,top
TP19,80.5303,-103.3526,0.0,top
TP20,84.582,-96.2914,0.0,top
TP21,84.582,-92.4814,0.0,top
TP22,92.837,-103.378,0.0,top
TP23,92.837,-100.33,0.0,top
TP24,163.489177,-100.679451,0.0,top
TP25,122.682,-67.437,0.0,top
TP26,128.27,-67.31,0.0,top
TP27,79.000849,-142.224255,180.0,top
TP28,156.845,-68.58,0.0,top
TP29,79.000849,-134.858255,180.0,top
TP3,63.026142,-95.25,0.0,top
TP30,163.195,-68.58,0.0,top
TP31,83.572849,-131.048255,180.0,top
TP32,169.418,-68.453,0.0,top
TP33,84.046975,-152.482257,180.0,top
TP34,75.476501,-149.6205,180.0,top
TP35,56.938443,-69.164891,0.0,top
TP36,56.896,-78.486,0.0,top
TP37,218.194611,-74.676,0.0,top
TP38,205.240611,-74.93,0.0,top
TP39,205.994,-66.04,0.0,top
TP4,47.310022,-65.004552,0.0,top
TP40,185.6232,-65.9892,0.0,top
TP41,198.9836,-65.9892,0.0,top
TP42,43.688,-124.46,0.0,top
TP43,43.688,-121.412,0.0,top
TP44,43.688,-118.364,0.0,top
TP45,43.688,-115.316,0.0,top
TP46,43.688,-112.268,0.0,top
TP47,43.688,-109.22,0.0,top
TP48,196.998021,-161.218766,0.0,top
TP49,238.76,-101.092,0.0,top
TP5,219.1512,-152.908,0.0,top
TP50,219.1512,-157.653,0.0,top
TP51,211.963,-66.04,0.0,top
TP52,56.896,-83.439,0.0,top
TP53,48.5645,-107.6455,0.0,top
TP54,67.888825,-95.356124,0.0,top
TP55,83.349406,-83.31059,0.0,top
TP56,238.76,-82.095,0.0,top
TP57,238.76,-86.868,0.0,top
TP58,238.76,-91.567,0.0,top
TP59,238.76,-96.393,0.0,top
TP6,201.5236,-146.6992,0.0,top
TP7,184.00399,-108.228001,0.0,top
TP8,194.16399,-108.228001,0.0,top
TP9,189.08399,-108.228001,0.0,top
U1,51.4405,-69.154,180.0,top
U10,71.12,-74.676,180.0,top
U11,70.8275,-101.473,270.0,top
U12,92.267,-94.234,270.0,top
U13,119.994,-89.606,90.0,top
U14,184.00399,-99.165678,270.0,top
U2,188.308,-150.998,0.0,top
U3,73.406,-122.682,180.0,top
U5,55.620501,-141.244,0.0,top
U6,67.200005,-58.876,180.0,top
U7,138.320005,-58.876,180.0,top
U8,209.440005,-58.876,180.0,top
U9,89.089,-69.215,90.0,top
Y1,63.1673,-163.3153,270.0,top
Y2,49.1313,-154.6533,90.0,top
